text,Joy,Trust,Anticipation,Surprise,Fear,Sadness,Disgust,Anger,Positive,Negative,Neutral
"(""TRIGON"") (firma inwestycyjna, za pośrednictwem której wykonywany jest program skupu akcji własnych RADPOL S.A.) podczas sesji giełdowej na rynku podstawowym Giełdy Papierów Wartościowych w Warszawie S.A. dokonała następujących transakcji nabycia akcji Emitenta: 1) dnia 22 października 2012 roku nabyła razem 6.000 akcji RADPOL S.A.: - o godz. 13:12 nabyła 2.000 akcji po cenie 8,41 zł za jedną akcję; - o godz. 13:15 nabyła 2.000 akcji po cenie 8,41 zł za jedną akcję; - o godz. 13:16 nabyła 2.000 akcji po cenie 8,41 zł za jedną akcję; 2) dnia 23 października 2012 roku nabyła razem 2.371 akcji RADPOL S.A.: - o godz. 11:55 nabyła 2.000 akcji po cenie 8,30 zł za jedną akcję; - o godz. 17:15 nabyła 371 akcji po cenie 8,30 zł za jedną akcję; 3) dnia 24 października 2012 roku nabyła razem 4.000 akcji RADPOL S.A.: - o godz. 16:48 nabyła 2.000 akcji po cenie 8,38 zł za jedną akcję; - od godz. 16:48 do godz. 17:30 nabyła łącznie 2.000 akcji po cenie 8,38 zł za jedną akcję; 4) dnia 25 października 2012 roku nabyła razem 2.000 akcji RADPOL S.A.: - o godz. 10:39 nabyła 1.000 akcji po cenie 8,21 zł za jedną akcję; - o godz. 14:47 nabyła 1.000 akcji po cenie 8,21 zł za jedną akcję; 5) dnia 26 października 2012 roku o godz. 09:12 nabyła 1.000 akcji RADPOL S.A. po cenie 8,25 zł za jedną akcję.",False,False,False,False,False,False,False,False,False,False,True
"Nabyte akcje własne w łącznej liczbie 15.371 akcji stanowią łącznie 0,060% kapitału zakładowego Spółki oraz uprawniają do 15.371 głosów na Walnym Zgromadzeniu Akcjonariuszy Spółki, co stanowi 0,060% ogólnej liczby głosów.",False,False,False,False,False,False,False,False,False,False,True
"Po nabyciu akcji własnych będących przedmiotem niniejszego raportu, TRIGON posiada łącznie 15.371 akcji RADPOL S.A., stanowiących 0,060% kapitału zakładowego Spółki i dających prawo do 15.371 głosów na Walnym Zgromadzeniu Akcjonariuszy Emitenta (0,060% ogólnej liczby głosów).",False,False,False,False,False,False,False,False,False,False,True
"Zgodnie z zapisami umowy zawartej pomiędzy TRIGON i Emitentem, akcje nabywane przez TRIGON w wykonaniu programu skupu akcji własnych Emitenta zostaną nabyte przez Emitenta od TRIGON w drodze transakcji pakietowej.",False,False,False,False,False,False,False,False,False,False,True
"Dotychczas RADPOL S.A. nabyła od TRIGON 217.355 akcji, które stanowią 0,845% kapitału zakładowego Spółki oraz uprawniają do 217.355 głosów na Walnym Zgromadzeniu Akcjonariuszy Spółki, co stanowi 0,845% ogólnej liczby głosów.",False,False,False,False,False,False,False,False,False,False,True
Obecnie Emitent nie nabył bezpośrednio żadnych akcji własnych w ramach realizowanego programu skupu akcji własnych.,False,False,False,False,False,False,False,False,False,False,True
"Zgodnie z Uchwałą nr 4 NWZA z dnia 19 sierpnia 2011 roku skupione akcje własne mogą być przeznaczone na: a) umorzenie w drodze obniżenia kapitału zakładowego, b) lub do dalszej ich odsprzedaży, c) lub do zaoferowania ich do nabycia pracownikom Spółki lub podmiotom z nią powiązanym, a to w celu realizacji programu motywacyjnego, jeżeli taki zostanie uchwalony, w tym w szczególności do realizacji pracowniczych programów opcji na akcje lub innych przydziałów akcji pracownikom Spółki lub spółki z nią powiązanej.",False,False,False,False,False,False,False,False,False,False,True
###########################,False,False,False,False,False,False,False,False,False,False,True
"Od 6 marca br. Gromadą kieruje Zarząd w składzie: Jan Błoński, Tadeusz Kierzek i Krzysztof Syrek.",False,False,False,False,False,False,False,False,False,False,True
"Zarząd koncentruje się obecnie na inwestycji w Krakowie, restrukturyzacji Spółdzielni oraz zwiększaniu efektywności działalności hotelowej, która jest i pozostanie zasadniczym biznesem.",False,False,False,False,False,False,False,False,True,False,True
"Natomiast do września br. OST Gromada chce uzyskać dodatkowe 24 mln zł z tytułu sprzedaży zbędnych lub nierentownych nieruchomości, takich jak: hotele w Berlinie, Olsztynie i Przemyślu, a także innych zbędnych z punktu widzenia prowadzenia działalności zasadniczej składników majątku: budynków, pojedynczych lokali i działek.",False,False,True,False,False,False,False,False,True,False,True
Ogólnokrajowa Spółdzielnia Turystyczna Gromada została założona w roku 1937.,False,False,False,False,False,False,False,False,False,False,True
###########################,False,False,False,False,False,False,False,False,True,False,True
Statyw zwraca na siebie uwagę naprawdę mikroskopijnymi wymiarami (po złożeniu mieści się do plecaka).,True,False,False,True,False,False,False,False,True,False,False
Po rozłożeniu z wysokością 125cm daje się w miarę wygodnie użytkować.,True,False,False,False,False,False,False,False,True,False,False
"Rozczarowuje jednak słabą konstrukcją, mała stabilnością oraz dośc niewygodną regulacją wysokości (nie mamy tu bowiem korbki,ale zwykła śrubę).",False,False,False,True,False,True,False,False,False,True,False
"Przy większych obciążeniach zaczyna być odrobinę jeszcze mniej stabilny co czyni go użytecznym najwyżej do zaawansowanych kompaktów poniżej 1,5kg.",False,False,False,True,False,True,True,False,False,True,False
"Cena dość niska i dla amatorów wystarczy, jeżeli ktoś poszukuje sprzęt pod cięższy aparat czy kamerę polecam wyższe modele (np 61).",True,True,False,False,False,False,False,False,True,False,False
###########################,True,False,False,False,False,True,False,False,True,True,False
Kurs: chemia ogólna - wykład koleś dziwny nie lubi spóźnialskich za to daje ujemne punkty i straszy nimi ze je doliczy do progu zaliczeniowego kursu choc nigdy tego nie robi .,True,False,False,False,True,True,True,True,True,True,False
Na wykładach za aktywność nagradza punktami które na 100% dolicza do zaliczenia mozna uzyskac od 1-3 ptk nawet w zależnosci od stopnia trudności pytania .,True,True,False,False,False,False,False,False,True,False,False
Wykłady prowadzone sa w sposób czasem ciekawy i czasem nudny.,True,False,True,False,False,False,True,False,True,True,False
Profesor często opowiada jakieś dowcipy .,True,False,False,False,False,False,False,False,True,False,True
Jeżeli chodzi o zaliczenie to zawsze daje te same testy co roku wystarczy się w nie zaopatrzyć i kurs bez problemu zaliczony,True,True,False,False,False,False,False,False,True,False,False
###########################,True,True,False,False,False,False,False,False,True,False,False
Osobiście nie polecam.,False,False,False,False,False,True,False,False,False,True,False
"Na basenie większość wyposażenia niesprawna (i z czystością kiepsko), podobnie w strefie saun, uważajcie na odpływy pod natryskami, ja paznokieć niemal na nim zerwałem, w pokoju miałem niesprawne drzwi balkonowe jak i do toalety, brak parawanu plażowego (zostałem poinformowany, że nie ma zapasowych więc musiałem sobie kupić).",False,False,False,False,False,True,True,False,False,True,False
W innych częściach ośrodka również wiele elementów wyposażenia niesprawna.,False,False,False,False,False,True,True,False,False,True,False
Te jak i jeszcze inne uwagi pisemnie drugiego dnia pobytu przekazałem.,False,False,False,False,False,False,False,True,False,True,True
"Przez cały pobyt bez zmian, nawet nie raczył nikt przyjść spróbować drzwi naprawić.",False,False,False,True,False,True,False,True,False,True,False
"Ostatniego dnia pobytu dostałem od pani kierownik recepcji mailem informację, że oni zweryfikują moje uwagi i w ciągu 7 dni udzielą mi szczegółową odpowiedź.",False,False,True,False,False,False,False,False,True,True,True
"Następnego dnia wyjechałem, kontaktu już oczywiście żadnego w sumie co mnie po powrocie do domu by interesowało, że coś zostało naprawione.",False,False,True,False,False,True,False,True,False,True,False
"W różnych miejscach już bywałem, ale takiego szczytu ignorancji nie spotkałem, ich motto chyba to: przyjedź, zapłać...... a my mamy cię w d....",False,False,False,False,False,True,True,True,False,True,False
###########################,False,False,False,False,False,True,False,True,False,True,False
"Szanowni Państwo, Ubiegły rok był dla Grupy Polenergia pod wieloma względami przełomowy.",True,False,True,False,False,False,False,False,True,False,True
"Doświadczyliśmy znaczących zmian w otoczeniu rynkowym i regulacyjnym, które wpłynęły na poprawę sytuacji całej branży OZE.",True,True,False,False,False,False,False,False,True,False,False
Jednocześnie jako Grupa konsekwentnie realizowaliśmy plan optymalizacji istniejącej bazy aktywów i rozwoju w kluczowych z naszej perspektywy obszarach lądowej i morskiej energetyki wiatrowej oraz fotowoltaiki.,True,True,False,False,False,False,False,False,True,False,True
"W tym roku swój finał znalazło wiele działań zainicjowanych w poprzednich okresach, takich jak restrukturyzacja zadłużenia większości naszych farm wiatrowych, optymalizacja kosztów operacyjnych i pozyskanie koncernu Equinor jako partnera do rozwoju projektów farm wiatrowych na morzu.",True,True,False,False,False,False,False,False,True,False,False
"W efekcie Grupa osiągnęła w 2018 r. wynik na poziomie skorygowanej EBITDA wynoszący 188,4 mln zł czyli o 6,9 mln zł wyższy w stosunku do roku poprzedniego.",True,True,False,False,False,False,False,False,True,False,False
Pozytywne zmiany w otoczeniu rynkowym oraz realizacja konsekwentnych działań ukierunkowanych na zwiększanie wartości dla akcjonariuszy znalazły także odzwierciedlenie we wzroście kapitalizacji Spółki w 2018 r. o ok.,True,True,False,False,False,False,False,False,True,False,False
380 mln zł tj. 68%.,False,False,False,False,False,False,False,False,False,False,True
Nowelizacja Ustawy o OZE z 7 czerwca 2018 r. usunęła dyskryminacyjne zasady opodatkowania farm wiatrowych podatkiem od nieruchomości.,True,False,False,False,False,False,False,False,True,False,True
Przez cały 2018 r. obserwowaliśmy systematyczny wzrost cen energii elektrycznej na rynku spot i terminowym.,False,False,True,False,False,False,False,False,False,False,True
Wzrostowi cen energii towarzyszył także ponad trzykrotny wzrost cen zielonych certyfikatów.,False,False,False,False,False,False,False,False,True,True,True
"Te czynniki w połączeniu z konsekwentnie realizowaną optymalizacją kosztów pozwoliły na osiągnięcie przez segment energetyki wiatrowej wyniku wyższego o 9,6 mln zł w stosunku do poprzedniego roku pomimo wietrzności niższej o 11%.",True,True,False,False,False,False,False,False,True,False,False
"Jednocześnie Grupa dokonała odwrócenia odpisu z tytułu utraty wartości aktywów segmentu w kwocie 67,5 mln zł.",True,True,False,False,False,False,False,False,True,False,True
Kolejny dobry rok odnotował segment energetyki konwencjonalnej.,True,False,False,False,False,False,False,False,True,False,False
"Wynik EBITDA segmentu wzrósł o 37,2 mln zł w stosunku do poprzedniego roku w efekcie wyższych przychodów z korekty rekompensaty gazowej i rekompensaty kosztów osieroconych w ENS.",True,True,False,False,False,False,False,False,True,False,False
"Odbyły się także pierwsze aukcje dla 3 kolejnych lat dostaw (2021-2023) usługi dostępności mocy w ramach tzw. „rynku mocy”, w których z sukcesem wzięły udział Elektrociepłownia Nowa Sarzyna oraz Elektrownia Mercury.",True,True,False,False,False,False,False,False,True,False,False
"Rosnące rynkowe ceny energii, których beneficjentem są aktywa wytwórcze, stanowiły w minionym roku wyzwanie dla segmentów obrotu i dystrybucji.",False,False,True,False,False,False,False,False,True,False,True
"Wynik EBITDA segmentu obrotu za 2018 rok był niższy od wyniku roku poprzedniego o 29,1 mln zł ze względu na stratę na handlu energią elektryczną w związku z wyjątkowym wzrostem cen w 1 połowie 2018 roku oraz wyższymi kosztami profilowania farm wiatrowych.",False,False,False,False,False,True,False,False,False,True,True
W celu ograniczenia ekspozycji na ryzyko Grupa podjęła działania polegające na zamknięciu pozycji skutkujących stratą i ograniczeniu skali działalności handlowej energią elektryczną do czasu ustabilizowania sytuacji na rynku energii oraz rozszerzenia zakresu monitorowania i raportowania wyników oraz miar ryzyka.,False,False,True,False,False,False,False,False,True,False,True
"Wynik EBITDA segmentu dystrybucji był niższy o 1,9 mln zł w porównaniu do ubiegłego roku, co było w głównej mierze spowodowane niższą marżą na sprzedaży energii klientom w efekcie wyższego kosztu zakupu oraz opóźnieniem wejścia w życie nowej taryfy.",False,False,False,True,False,True,False,False,False,True,True
W związku z pogarszającą się sytuacją na rynku biomasy podjęliśmy decyzję o wycofaniu się z działalności w tym segmencie.,False,False,True,False,False,True,False,False,False,True,True
W jej wyniku doprowadziliśmy do sprzedaży aktywów zakładu Biomasa Południe i Biomasa Północ.,True,False,False,False,False,False,False,False,True,False,True
Obecnie prowadzone są rozmowy z potencjalnymi nabywcami zakładu Biomasa Wschód we współpracy z bankiem finansującym.,False,False,True,False,False,False,False,False,True,False,True
"W efekcie wynik EBITDA segmentu biomasy za 2018 rok był niższy o 3,0 mln zł w porównaniu do ubiegłego roku.",False,False,False,False,False,True,False,False,False,True,False
"W minionym roku kontynuowaliśmy także prace nad kluczowymi z perspektywy Grupy obszarami rozwoju, czyli lądową i morską energetyką wiatrową oraz fotowoltaiką.",True,False,False,False,False,False,False,False,True,False,True
Nasze projekty farm wiatrowych na lądzie o łącznej mocy 199 MW oraz elektrowni fotowoltaicznych o łącznej mocy 8 MW wzięły udział w aukcjach OZE.,True,False,False,False,False,False,False,False,True,False,True
"Farmy wiatrowe nie wygrały aukcji, lecz kontynuujemy prace w celu doprowadzenia do ich budowy w oparciu o przychody z rynku energii lub kontrakty długoterminowe.",False,False,True,False,False,True,False,False,True,False,True
Rosnące ceny energii stwarzają nowe możliwości w tym zakresie.,True,False,True,False,False,False,False,False,True,False,False
Nie wykluczamy także udziału w ewentualnej aukcji dla farm wiatrowych w 2019 roku.,False,False,True,False,False,False,False,False,True,False,True
Nasza spółka rozwijająca projekty farm fotowoltaicznych o łącznej mocy 8MW wygrała aukcję w 2018 r.,True,True,False,False,False,False,False,False,True,False,False
"Budowa i oddanie do użytkowania pierwszego, pionierskiego projektu farmy fotowoltaicznej przez Polenergię nastąpi jeszcze w 2019 roku.",True,False,True,False,False,False,False,False,True,False,False
Jednocześnie trwa przygotowanie do udziału w kolejnych aukcjach oczekiwanych w 2019 roku projektów o łącznej mocy 16 MW.,True,False,True,False,False,False,False,False,True,False,True
Kolejne projekty o mocy 30 MW znajdują się we wczesnej fazie rozwoju.,False,False,True,False,False,False,False,False,True,False,True
W segmencie dystrybucji realizacja wdrożonego w 2016 roku programu inwestycyjnego przebiega zgodnie z harmonogramem.,True,True,True,False,False,False,False,False,True,False,False
Polenergia Dystrybucja uzyskała zgodę Rady Nadzorczej na realizację nowego planu inwestycyjnego na lata 2019-2022 o łącznej kwocie 51 mln zł oraz pozyskała 33 mln zł kredytu na jego realizację.,True,False,False,False,False,False,False,False,True,False,False
"Grupa przygotowuje do budowy trzy morskie farmy wiatrowe (Polenergia Bałtyk I S.A., MFW Bałtyk II Sp. z o.o. i MFW Bałtyk III Sp. z o.o.) zlokalizowane na Morzu Bałtyckim.",False,False,False,False,False,False,False,False,True,False,True
Termin budowy farm uzależniony jest od wejścia w życie stosownego systemu regulacyjnego.,False,False,True,False,False,False,False,False,True,False,True
"W styczniu 2019 r. otrzymaliśmy warunki przyłączenia dla spółek MFW Bałtyk II sp. z o. o. i Polenergia Bałtyk I S.A. umożliwiające zwiększenie łącznej mocy wszystkich morskich farm wiatrowych rozwijanych przez spółki MFW Bałtyk II sp. z o. o., MFW Bałtyk III sp. z o. o. oraz Polenergia Bałtyk I S.A. do 3000 MW.",True,False,False,False,False,False,False,False,True,False,True
W 2018 r. pozyskaliśmy cennego partnera do dalszego rozwoju projektów morskich farm wiatrowych w postaci koncernu Equinor (poprzednio Statoil).,True,True,False,False,False,False,False,False,True,False,False
W drugim kwartale 2018 roku zawarliśmy umowę sprzedaży 50% udziałów w spółkach wiatrowych MFW Bałtyk II Sp. z o.o. i MFW Bałtyk III Sp. z o.o.,False,False,False,False,False,False,False,False,True,False,True
"Dodatkowo, w dniu 20 grudnia 2018 roku zawarliśmy umowę przedwstępną sprzedaży 50% udziałów w spółce Polenergia Bałtyk I S.A. Konsekwentnie zmieniamy Polenergię w nowoczesną, efektywną spółkę energetyczną.",True,False,True,False,False,False,False,False,True,False,False
Jesteśmy na zaawansowanym etapie przygotowania strategii dywersyfikacji technologicznej i geograficznej.,True,True,True,False,False,False,False,False,True,False,False
Mamy duże ambicje i uważnie przyglądamy się sytuacji na innych rynkach atrakcyjnych z punktu widzenia OZE.,True,False,True,False,False,False,False,False,True,False,False
"Kolejny rok funkcjonowania w trudnym otoczeniu rynkowym i regulacyjnym potwierdza, że nasza strategia oparta na stabilnych fundamentach, optymalizacja bazy kosztowej oraz konsekwentna realizacja inicjatyw zmierzających do obrony wartości dla akcjonariuszy stanowią właściwą odpowiedź na uwarunkowania zewnętrzne.",True,True,True,False,False,False,False,False,True,False,False
"Możemy dzisiaj stwierdzić, że z wymagającego i obfitującego w wyzwania okresu ostatnich lat wyszliśmy wzmocnieni.",True,True,False,False,False,False,False,False,True,False,False
Dzięki przeprowadzonym działaniom optymalizacyjnym i poprawie efektywności Polenergia jest dzisiaj gotowa do rozwoju i pełnego wykorzystania poprawiającej się sytuacji na rynku OZE.,True,True,True,False,False,False,False,False,True,False,False
"Z poważaniem, dr. Michał Michalski - Prezes Zarządu",False,True,False,False,False,False,False,False,False,False,True
###########################,True,False,True,False,False,False,False,False,True,False,False
"Podstawy analizy matematycznej - ćwiczenia i wykład Ocena: neutralna, raczej nie polecam[/b] Trzeba sbie na początku powiedzieć, że dr Wilhelm ma bardzo dużą wiedzę z dziedziny matematyki i że jest jej pasjonatem.....",False,True,False,False,False,True,False,False,False,True,False
Byłem u dra Wilhelma na wykładzie i na ćwiczeniach....,False,False,False,False,False,False,False,False,False,False,True
Cóż....,False,False,False,False,False,True,False,False,False,True,True
"Wykład faktycznie prowadzony był, że tak powiem &quot;beznamiętnie i jednostajnie&quot;, czasami nawet szło usnąć i do tego był przepisywany skrypt.... :/ Ćwiczenia natomiast były prowadzone w sposób dość dobry.",True,False,False,False,False,True,True,False,True,True,False
"Jesli umiało się rozwiązywać zadanka i chodziło sie do tablicy to można było nałapać punktów, lecz jeżeli ktoś sobie postanowił, że pouczy się na kilka dni przed kołem i zaliczy je dość dobrze, a przez resztę czasu analizę mat 1 potraktował &quot;szkicowo&quot;, to mimo że zadanka były dość łatwe, raczej miał małe szanse na zdanie...",True,False,True,False,True,True,False,False,True,True,False
Dr Wilhelm trzyma się sztywno regulaminu i nie dodaje punktów jeśli komus brakuje do zaliczenia....,False,False,False,False,False,True,False,False,False,True,False
###########################,False,False,False,False,False,True,False,False,False,True,False
"Zarząd AmRest Holdings SE (“AmRest"") informuje o podpisaniu Umowy Sprzedaży Zakupu i Objęcia Udziałów (“SPA"") w dniu 10 lutego 2011 roku pomiędzy AmRest (""Kupujący"") oraz Corpfin Capital Fund III, F.C.R., Corpfin Capital S.A., S.C.R., Corpfin Capital Fund III, SBP, F.C.R., Delta Spain S.A.R.L., SICAR (“Akcjonariusze Corpfin"") oraz Panią María Elena Pato-Castel Tadeo, Panem David Gorgues Carnicé, Kenvest Restoration S.L. and Ebitda Consulting S.L.",False,False,False,False,False,False,False,False,False,False,True
"(“Menedżerowie"").",False,False,False,False,False,False,False,False,False,False,True
"Akcjonariusze Corpfin oraz Menedżerowie są dalej zwani jako “Sprzedający"".",False,False,False,False,False,False,False,False,False,False,True
"AmRest nabędzie 76,3% udziałów w Restauravia Grupo Empresarial S.L. a pozostała część udziałów (23,7%) zostanie objęta przez Menedżerów.",False,False,False,False,False,False,False,False,False,False,True
Sprzedający są w posiadaniu 100% udziałów w Restauravia Grupo Empresarial S.L.,False,False,False,False,False,False,False,False,False,False,True
"(“Restauravia"" lub “Spółka""), spółki z ograniczoną odpowiedzialnością z siedzibą w Hiszpanii.",False,False,False,False,False,False,False,False,False,False,True
"Restauravia posiada 100% udziałów w Restauravia Food S.L.U. (zwanej dalej jako “KFC Branch"") hiszpańskiej spółki z ograniczoną odpowiedzialnością oraz Pastificio Service S.L.U. (zwanej dalej “Pastificio Branch"") hiszpańskiej spółki z ograniczoną odpowiedzialnością.",False,False,False,False,False,False,False,False,False,False,True
"Restauravia operują łącznie 130 restauracjami w Hiszpanii: 30 restauracji KFC oraz 89 La Tagliatella (w tym 73 restauracji operowanych przez franczyzobiorców), 6 restauracji Il Pastificcio i 5 restauracji Trastevere (dalej zwanych łącznie restauracjami ""Tagliatella"").",False,False,False,False,False,False,False,False,False,False,True
Restauravia jest właścicielem marek restauracji Tagliatella.,False,False,False,False,False,False,False,False,False,False,True
Spółka w 2010 roku osiągnęła sprzedaż w wysokości około EUR 100 milionów i znormalizowana EBITDA wartości 23.9 milionów EUR.,False,True,False,False,False,False,False,False,True,False,True
"Obie strony uzgodniły, że transakcja zostanie sfinalizowana do dnia 29 kwietnia 2011 roku (“Data Zamknięcia"").",False,False,True,False,False,False,False,False,True,False,True
Wartość Enterprise Value spółki Restauravia wynosi EUR 198 milionów.,False,False,False,False,False,False,False,False,True,False,True
"Transakcja będzie sfinansowana inwestycją kapitałową AmRest w kwocie około EUR 90 milionów, objęciem udziałów wartych EUR 28 milionów przez Menedżerów oraz zewnętrznym długiem bankowym.",False,False,True,False,False,False,False,False,True,False,True
Szacowany dług netto Spółki na dzień Finalizacji Umowy wynosi 32 miliony EUR.,False,False,True,False,False,False,False,False,False,False,True
W ciągu 30 dni od daty Finalizacji Umowy niezależny audytor opublikuje raport dotyczący wartości długu netto Spółki na dzień Finalizacji Umowy.,False,False,True,False,False,False,False,False,True,False,True
W razie rozbieżności cena transakcji zostanie dostosowana odpowiednio skorygowana.,False,True,True,False,False,False,False,False,True,False,True
"AmRest posiada opcję zakupu (""Opcja Call"") całości lub części udziałów od akcjonariuszy mniejszościowych.",False,False,False,False,False,False,False,False,False,False,True
AmRest ma prawo wykonania Opcji Call po 3 i do 6 lat od dnia Finalizacji Umowy w dniach 1-go maja i 1-go grudnia każdego roku w tym okresie.,False,False,False,False,False,False,False,False,False,False,True
"Równocześnie akcjonariusze mniejszościowi posiadają opcje sprzedaży (""Opcja Put"") całości lub części udziałów.",False,False,False,False,False,False,False,False,False,False,True
Opcja Put może być wykonana po 3 i do 6 lat od dnia Finalizacji Umowy.,False,False,False,False,False,False,False,False,False,False,True
